'''MATERIALES UTILIZADOS EN LA OBRA CIVIL'''
Fecha,Tipo,Unidad de compra,Cantidad,Precio por unidad
11/04/2021,Cemento,Bultos de 50Kg,3000,17200
11/04/2021,ladrillos H-10,Unidad,8000,700
12/04/2021,Cabilla 3/4 pulgadas,Metros,10000,17900
12/04/2021,Rieles,Metros,15000,20200
12/04/2021,Arena,Peña de 40kg,200,7500
13/04/2021,Estuco,Bolsa de 25Kg,500,5900
13/04/2021,Alambre negro,Metros,5000,2000
13/04/2021,Puntillas 2pulgadas,Caja de 500g,500,3900
13/04/2021,Puntillas 2pulgadas,Caja de 500g,500,3900
14/04/2021,Perfiles de Acero,Metros,15000,17783
14/04/2021,Vigas,Metros,50000,42400
14/04/2021,Cerámina,Metros,50000,37900
14/04/2021,Combo sanitario,Unidad,40,300000
15/04/2021,Puertas vidrio templado,Unidad,600,360000
15/04/2021,Vidrio templado,Metros,300,40000
16/04/2021,Eternit,Metro cuadrado,100000,16000
16/04/2021,Sillas metalicas,Unidad,200,60000
17/04/2021,Zonas verdes,Metros,200,200000
17/04/2021,Tubos sanitarios,Metros,1000,20000
17/04/2021,Luces led,Unidad,1200,20000
18/04/2021,Ventanas vidrio templado,Unidad,200,250000
18/04/2021,Pintura,Cuñetes,500,120000
20/04/2021,Pegacor cerámico,Bultos de 25Kg,60000,26000
20/04/2021,Tubos pvc electricos,Metros,6000,6000
21/04/2021,Comedores,Unidad,100,250000
21/04/2021,Ascensores,Unidad,4,20000000
22/04/2021,Madera,Metro cuadrado,16,10500
22/04/2021,Soportes,Unidad,100,50000
22/04/2021,Bloque,Unidad,2000,1000
23/04/2021,Paneles solares,Unidad,7,350000
24/04/2021,sifones,Unidad,50,16000
24/04/2021,Laminas tiplex,Metro cuadrado,64,9500
24/04/2021,Laminas drywall,Metro cuadrado,25,13000
25/04/2021,Lamparas colgantes,10,400000
25/04/2021,Cableado,Metros,9000,1500
25/04/2021,Toma corrientes,Unidad,200,3000
26/04/2021,Toma Tv,Unidad,100,2500
26/04/2021,Apagadores,Unidad,500,3000
26/04/2021,Guardaescobas pvc,Metros,300,19000
27/04/2021,Triturado,Metros,300,60000
27/04/2021,Sensores,Unidad,30,25000
27/04/2021,Canales pvc,Metros,60,26000
28/04/2021,Tacos electricos,Cajas,4,68000
28/04/2021,Grava 3/4,Bolsas de 40kg,200,7600
28/04/2021,Formaletas,Metro cuadrado,1500,38500
29/04/2021,Laminas de espejo,Unidad,50,150000
29/04/2021,Laminas de marmol,Unidad,20,400000
29/04/2021,Granito blanco,Bolsa de 35Kg,100,45000
30/04/2021,Malla electrosoldada,Metro cuadrado,1000,8800
30/04/2021,Mortero seco,Bultos de 75Kg,1000,13000
